originapt,destapt,tbl,quart,origincity,destcity,origin,destination,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs
ALB,ONT,Table 6,20082,01580,66180,"Albany, New York, USA","Ontario, California, USA",2423,20,259.50659341,WN,67.582417582,232.92162602,WN,67.582417582,232.92162602,118
ALB,MCO,Table 6,20082,01580,66600,"Albany, New York, USA","Orlando, Florida, USA",1073,735.38461538,149.79152869,WN,82.904961148,143.04585256,WN,82.904961148,143.04585256,119
ALB,PHL,Table 6,20082,01580,69880,"Albany, New York, USA","Philadelphia, Pennsylvania, USA",212,43.516483516,165.98805556,US,97.727272727,166.42082687,UA,1.7676767677,165.57428571,120
ALB,PHX,Table 6,20082,01580,69980,"Albany, New York, USA","Phoenix, Arizona, USA",2159,140.65934066,232.23085156,WN,30.46875,232.45969231,DL,10.78125,188.63724638,121
ALB,PIT,Table 6,20082,01580,70470,"Albany, New York, USA","Pittsburgh, Pennsylvania, USA",367,89.010989011,157.59658025,US,40.864197531,189.75359517,WN,40.37037037,112.33266055,122
ALB,PDX,Table 6,20082,01580,71790,"Albany, New York, USA","Portland, Oregon, USA",2395,57.252747253,263.40153551,UA,28.790786948,275.68833333,CO,13.051823417,205.87941176,123
ALB,RDU,Table 6,20082,01580,74830,"Albany, New York, USA","Raleigh/Durham, North Carolina, USA",544,151.64835165,147.5592971,WN,52.31884058,142.17954294,WN,52.31884058,142.17954294,124
ALB,RNO,Table 6,20082,01580,75500,"Albany, New York, USA","Reno, Nevada, USA",2379,16.923076923,273.54461039,WN,66.883116883,282.45563107,UA,9.0909090909,212.44571429,125
ALB,RIC,Table 6,20082,01580,75820,"Albany, New York, USA","Richmond, Virginia, USA",407,16.483516484,278.55393333,US,66,274.33212121,US,66,274.33212121,126
ALB,SMF,Table 6,20082,01580,77850,"Albany, New York, USA","Sacramento, California, USA",2491,36.703296703,268.35482036,WN,44.311377246,243.41581081,WN,44.311377246,243.41581081,127
ALB,STL,Table 6,20082,01580,78460,"Albany, New York, USA","St. Louis, Missouri, USA",910,76.703296703,205.49911175,WN,48.137535817,183.01729167,WN,48.137535817,183.01729167,128
ALB,SLC,Table 6,20082,01580,79070,"Albany, New York, USA","Salt Lake City, Utah, USA",1960,42.417582418,264.07318653,WN,36.528497409,231.90205674,WN,36.528497409,231.90205674,129
ALB,SAT,Table 6,20082,01580,79360,"Albany, New York, USA","San Antonio, Texas, USA",1643,53.846153846,237.58971429,WN,35.102040816,251.58075581,NW,11.632653061,158.14929825,130
ALB,SAN,Table 6,20082,01580,79520,"Albany, New York, USA","San Diego, California, USA",2445,97.692307692,242.8519685,WN,31.383577053,228.27935484,DL,16.085489314,225.07503497,131
ALB,SFO,Table 6,20082,01580,79830,"Albany, New York, USA","San Francisco, California, USA",2559,106.92307692,288.10109969,UA,44.398766701,312.89101852,WN,13.257965057,221.8475969,132
ALB,SJC,Table 6,20082,01580,80050,"Albany, New York, USA","San Jose, California, USA",2543,46.483516484,262.21104019,WN,41.134751773,238.32373563,WN,41.134751773,238.32373563,133
ALB,SNA,Table 6,20082,01580,80650,"Albany, New York, USA","Santa Ana, California, USA",2449,41.098901099,268.33409091,UA,40.909090909,249.04869281,UA,40.909090909,249.04869281,134
ALB,SRQ,Table 6,20082,01580,82080,"Albany, New York, USA","Sarasota/Bradenton, Florida, USA",1167,20.769230769,214.52021164,US,58.201058201,214.89781818,US,58.201058201,214.89781818,135
ALB,SAV,Table 6,20082,01580,82340,"Albany, New York, USA","Savannah, Georgia, USA",837,24.835164835,295.1810177,US,38.053097345,276.2777907,CO,14.159292035,263.89875,136
ALB,SEA,Table 6,20082,01580,82630,"Albany, New York, USA","Seattle, Washington, USA",2355,99.120879121,241.49233925,UA,30.155210643,249.98246324,CO,14.745011086,211.45225564,137
ALB,GEG,Table 6,20082,01580,85290,"Albany, New York, USA","Spokane, Washington, USA",2133,11.098901099,290.30990099,NW,34.653465347,243.552,NW,34.653465347,243.552,138
ALB,TLH,Table 6,20082,01580,87620,"Albany, New York, USA","Tallahassee, Florida, USA",1032,10.549450549,243.14,US,51.041666667,250.69020408,DL,43.75,229.52261905,139
ALB,TPA,Table 6,20082,01580,87870,"Albany, New York, USA","Tampa, Florida, USA",1130,356.7032967,154.88170672,WN,73.5982748,148.83635831,WN,73.5982748,148.83635831,140
ALB,TUS,Table 6,20082,01580,91940,"Albany, New York, USA","Tucson, Arizona, USA",2149,31.208791209,240.05605634,WN,54.577464789,230.13012903,DL,10.563380282,223.85633333,141
